u/_key,u/_id,u/_rev,u/basic/Accession #,u/basic/Active yes/no,u/basic/Additional disclaimer,u/basic/Appearance,u/basic/Application  Usage,u/basic/Applications,u/basic/Background,u/basic/Binding Capacity,u/basic/Biological activity,u/basic/Buffer,u/basic/Cas number,u/basic/Clone,u/basic/Concentration,u/basic/Conjugate,u/basic/Cross-reactivity,u/basic/Date last updated,u/basic/Disclaimer,u/basic/EG number,u/basic/Endotoxin Level,u/basic/Extra information,u/basic/Formulation,u/basic/GeneIDURL,u/basic/Handling,u/basic/Hazardous Goods,u/basic/Host,u/basic/Immunogen,u/basic/InChi,u/basic/Isotype,u/basic/Kit components,u/basic/MDL Number,u/basic/MSDS Available?,u/basic/Molecular Form,u/basic/Molecular Weight,u/basic/NCBI GENE ID #,u/basic/NCBI OFFICIAL FULL NAME,u/basic/NCBI OFFICIAL SYMBOL,u/basic/NCBI ORGANISM,u/basic/PDF Datasheet,u/basic/Packaging,u/basic/Peptide sequence,u/basic/Physical State,u/basic/Physical form description,u/basic/Price ITK/ImTec,u/basic/Price LabNed,u/basic/Product Description ITK,u/basic/Product Type,u/basic/Product category ITK,u/basic/Product category LabNed,u/basic/Product category by research field,u/basic/Protein GI #,u/basic/ProteinID,u/basic/ProteinIDURL,u/basic/PubChem CID,u/basic/Purification,u/basic/Purity,u/basic/REACH number,u/basic/Reactivity,u/basic/Recommended Dilution,u/basic/Reconstitution Instructions,u/basic/Regulatory Statement,u/basic/Related Products,u/basic/Release Date,u/basic/Research Area,u/basic/SWISSPROT #,u/basic/Salt Form,u/basic/Sample Type,u/basic/Shelf life,u/basic/Shipping Conditions,u/basic/Shipping costs,u/basic/Size,u/basic/Solubility/Reconstitution Instructions,u/basic/Source,u/basic/Stamnummer,u/basic/Storage Conditions,u/basic/Structure Available,u/basic/Supplier,u/basic/Supplier artikel nummer,u/basic/Tags,u/basic/Target,u/basic/UNSPSC number,u/basic/URL Datasheet,u/basic/USDA Disclaimer,u/basic/Unit Definition,u/basic/User note,u/basic/Web Category,u/basic/code,u/basic/description,u/basic/image1_text,u/basic/image2_text,u/basic/name,u/basic/not supplied reagents  equipment,u/basic/picture,u/basic/price,u/basic/productid,u/basic/references,u/basic/review,u/basic/vat,u/code,u/checkbox,u/seo/meta_author,u/seo/meta_description,u/seo/meta_keywords,u/seo/product_tags,u/seo/url_slug,u/searchNames/0,u/searchNames/1,u/searchNames/2,u/searchNames/3
349447342,k2p_product/349447342,_ibCpVyu--g,,Y,,,,FC,,,,,,IV.3,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD32 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921032010 ,2-8°C with minimized light exposure.,,AAT Bioquest,10320100,,CD32 ,12352203,,,,,,9210320100,,,,CD32 Human mFluor Violet 500 Antibody,,,,9210320100,,,LN9216859,9210320100,false,LabNed,,,,cd32-human-mfluor-violet-500-antibody-ln9216859,,cd32humanmfluorviolet500antibody,ln9216859,iv3
349453629,k2p_product/349453629,_ibCpVyu--l,,Y,,,,FC,,,,,,H4B4,,iFluor 560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD107 Human iFluor 560 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,92110710A,2-8°C with minimized light exposure.,,AAT Bioquest,110710A1,,CD107 ,12352203,,,,,,92110710A1,,,,CD107 Human iFluor 560 Antibody,,,,92110710A1,,,LN9207741,92110710A1,false,LabNed,,,,cd107-human-ifluor-560-antibody-ln9207741,,cd107humanifluor560antibody,ln9207741,h4b4
349453631,k2p_product/349453631,_ibCpVyu--1,,Y,,,,FC,,,,,,H4B4,,iFluor 568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD107 Human iFluor 568 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92110710B,2-8°C with minimized light exposure.,,AAT Bioquest,110710B0,,CD107 ,12352203,,,,,,92110710B0,,,,CD107 Human iFluor 568 Antibody,,,,92110710B0,,,LN9207742,92110710B0,false,LabNed,,,,cd107-human-ifluor-568-antibody-ln9207742,,cd107humanifluor568antibody,ln9207742,h4b4
349447344,k2p_product/349447344,_ibCpVyu--2,,Y,,,,FC,,,,,,IV.3,,iFluor 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD32 Human iFluor 350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921032001 ,2-8°C with minimized light exposure.,,AAT Bioquest,10320010,,CD32 ,12352203,,,,,,9210320010,,,,CD32 Human iFluor 350 Antibody,,,,9210320010,,,LN9216789,9210320010,false,LabNed,,,,cd32-human-ifluor-350-antibody-ln9216789,,cd32humanifluor350antibody,ln9216789,iv3
349453633,k2p_product/349453633,_ibCpVyu-_H,,Y,,,,FC,,,,,,H4B4,,iFluor 568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD107 Human iFluor 568 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,92110710B,2-8°C with minimized light exposure.,,AAT Bioquest,110710B1,,CD107 ,12352203,,,,,,92110710B1,,,,CD107 Human iFluor 568 Antibody,,,,92110710B1,,,LN9207743,92110710B1,false,LabNed,,,,cd107-human-ifluor-568-antibody-ln9207743,,cd107humanifluor568antibody,ln9207743,h4b4
349447346,k2p_product/349447346,_ibCpVyu-_L,,Y,,,,FC,,,,,,IV.3,,iFluor 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD32 Human iFluor 350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921032001 ,2-8°C with minimized light exposure.,,AAT Bioquest,10320011,,CD32 ,12352203,,,,,,9210320011,,,,CD32 Human iFluor 350 Antibody,,,,9210320011,,,LN9216790,9210320011,false,LabNed,,,,cd32-human-ifluor-350-antibody-ln9216790,,cd32humanifluor350antibody,ln9216790,iv3
349453635,k2p_product/349453635,_ibCpVyu-_X,,Y,,,,FC,,,,,,H4B4,,iFluor 594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD107 Human iFluor 594 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92110710C,2-8°C with minimized light exposure.,,AAT Bioquest,110710C0,,CD107 ,12352203,,,,,,92110710C0,,,,CD107 Human iFluor 594 Antibody,,,,92110710C0,,,LN9207744,92110710C0,false,LabNed,,,,cd107-human-ifluor-594-antibody-ln9207744,,cd107humanifluor594antibody,ln9207744,h4b4
349447348,k2p_product/349447348,_ibCpVyu-_e,,Y,,,,FC,,,,,,IV.3,,iFluor 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD32 Human iFluor 405 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921032002 ,2-8°C with minimized light exposure.,,AAT Bioquest,10320020,,CD32 ,12352203,,,,,,9210320020,,,,CD32 Human iFluor 405 Antibody,,,,9210320020,,,LN9216791,9210320020,false,LabNed,,,,cd32-human-ifluor-405-antibody-ln9216791,,cd32humanifluor405antibody,ln9216791,iv3
349453637,k2p_product/349453637,_ibCpVyu-_n,,Y,,,,FC,,,,,,H4B4,,iFluor 594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD107 Human iFluor 594 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,92110710C,2-8°C with minimized light exposure.,,AAT Bioquest,110710C1,,CD107 ,12352203,,,,,,92110710C1,,,,CD107 Human iFluor 594 Antibody,,,,92110710C1,,,LN9207745,92110710C1,false,LabNed,,,,cd107-human-ifluor-594-antibody-ln9207745,,cd107humanifluor594antibody,ln9207745,h4b4
349447350,k2p_product/349447350,_ibCpVyu-_y,,Y,,,,FC,,,,,,IV.3,,iFluor 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD32 Human iFluor 405 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921032002 ,2-8°C with minimized light exposure.,,AAT Bioquest,10320021,,CD32 ,12352203,,,,,,9210320021,,,,CD32 Human iFluor 405 Antibody,,,,9210320021,,,LN9216792,9210320021,false,LabNed,,,,cd32-human-ifluor-405-antibody-ln9216792,,cd32humanifluor405antibody,ln9216792,iv3
349453639,k2p_product/349453639,_ibCpVyu-_6,,Y,,,,FC,,,,,,H4B4,,iFluor 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD107 Human iFluor 610 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92110710D,2-8°C with minimized light exposure.,,AAT Bioquest,110710D0,,CD107 ,12352203,,,,,,92110710D0,,,,CD107 Human iFluor 610 Antibody,,,,92110710D0,,,LN9207746,92110710D0,false,LabNed,,,,cd107-human-ifluor-610-antibody-ln9207746,,cd107humanifluor610antibody,ln9207746,h4b4
349447352,k2p_product/349447352,_ibCpVyu-AH,,Y,,,,FC,,,,,,IV.3,,iFluor 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD32 Human iFluor 430 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921032003 ,2-8°C with minimized light exposure.,,AAT Bioquest,10320030,,CD32 ,12352203,,,,,,9210320030,,,,CD32 Human iFluor 430 Antibody,,,,9210320030,,,LN9216793,9210320030,false,LabNed,,,,cd32-human-ifluor-430-antibody-ln9216793,,cd32humanifluor430antibody,ln9216793,iv3
349453641,k2p_product/349453641,_ibCpVyu-AK,,Y,,,,FC,,,,,,H4B4,,iFluor 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD107 Human iFluor 610 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,92110710D,2-8°C with minimized light exposure.,,AAT Bioquest,110710D1,,CD107 ,12352203,,,,,,92110710D1,,,,CD107 Human iFluor 610 Antibody,,,,92110710D1,,,LN9207747,92110710D1,false,LabNed,,,,cd107-human-ifluor-610-antibody-ln9207747,,cd107humanifluor610antibody,ln9207747,h4b4
349447354,k2p_product/349447354,_ibCpVyu-Aa,,Y,,,,FC,,,,,,IV.3,,iFluor 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD32 Human iFluor 430 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921032003 ,2-8°C with minimized light exposure.,,AAT Bioquest,10320031,,CD32 ,12352203,,,,,,9210320031,,,,CD32 Human iFluor 430 Antibody,,,,9210320031,,,LN9216794,9210320031,false,LabNed,,,,cd32-human-ifluor-430-antibody-ln9216794,,cd32humanifluor430antibody,ln9216794,iv3
349453643,k2p_product/349453643,_ibCpVyu-Ad,,Y,,,,FC,,,,,,H4B4,,iFluor 647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD107 Human iFluor 647 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92110710F,2-8°C with minimized light exposure.,,AAT Bioquest,110710F0,,CD107 ,12352203,,,,,,92110710F0,,,,CD107 Human iFluor 647 Antibody,,,,92110710F0,,,LN9207750,92110710F0,false,LabNed,,,,cd107-human-ifluor-647-antibody-ln9207750,,cd107humanifluor647antibody,ln9207750,h4b4
349453645,k2p_product/349453645,_ibCpVyu-At,,Y,,,,FC,,,,,,H4B4,,iFluor 647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD107 Human iFluor 647 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,92110710F,2-8°C with minimized light exposure.,,AAT Bioquest,110710F1,,CD107 ,12352203,,,,,,92110710F1,,,,CD107 Human iFluor 647 Antibody,,,,92110710F1,,,LN9207751,92110710F1,false,LabNed,,,,cd107-human-ifluor-647-antibody-ln9207751,,cd107humanifluor647antibody,ln9207751,h4b4
349447356,k2p_product/349447356,_ibCpVyu-Aw,,Y,,,,FC,,,,,,IV.3,,iFluor 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD32 Human iFluor 450 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921032004 ,2-8°C with minimized light exposure.,,AAT Bioquest,10320040,,CD32 ,12352203,,,,,,9210320040,,,,CD32 Human iFluor 450 Antibody,,,,9210320040,,,LN9216795,9210320040,false,LabNed,,,,cd32-human-ifluor-450-antibody-ln9216795,,cd32humanifluor450antibody,ln9216795,iv3
