Accession #,Active yes/no,Additional disclaimer,Appearance,Application  Usage,Applications,Background,Binding Capacity,Biological activity,Buffer,Cas number,Clone,Concentration,Conjugate,Cross-reactivity,Date last updated,Disclaimer,EG number,Endotoxin Level,Extra information,Formulation,GeneIDURL,Handling,Hazardous Goods,Host,Immunogen,InChi,Isotype,Kit components,MDL Number,MSDS Available?,Molecular Form,Molecular Weight,NCBI GENE ID #,NCBI OFFICIAL FULL NAME,NCBI OFFICIAL SYMBOL,NCBI ORGANISM,PDF Datasheet,Packaging,Peptide sequence,Physical State,Physical form description,Price ITK/ImTec,Price LabNed,Product Description ITK,Product Type,Product category ITK,Product category LabNed,Product category by research field,Protein GI #,ProteinID,ProteinIDURL,PubChem CID,Purification,Purity,REACH number,Reactivity,Recommended Dilution,Reconstitution Instructions,Regulatory Statement,Related Products,Release Date,Research Area,SWISSPROT #,Salt Form,Sample Type,Shelf life,Shipping Conditions,Shipping costs,Size,Solubility/Reconstitution Instructions,Source,Stamnummer,Storage Conditions,Structure Available,Supplier,Supplier artikel nummer,Tags,Target,UNSPSC number,URL Datasheet,USDA Disclaimer,Unit Definition,User note,Web Category,code,description,image1_text,image2_text,name,not supplied reagents  equipment,picture,price,productid,references,review,vat
,Y,,,,FC,,,,,,EBVCS-5,,iFluor 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334,1334,CD23 Human iFluor 633 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,92102300E ,2-8°C with minimized light exposure.,,AAT Bioquest,1023000,,CD23 ,12352203,https://www.aatbio.com/products/ifluor-633-anti-human-cd23-antibody-ebvcs-5,,,,,921023000,,,,CD23 Human iFluor 633 Antibody,,,,921023000,,,LN9207004
,Y,,,,FC,,,,,,EBVCS-5,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD23 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921023010 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230100,,CD23 ,12352203,,,,,,9210230100,,,,CD23 Human mFluor Violet 500 Antibody,,,,9210230100,,,LN9207047
,Y,,,,FC,,,,,,EBVCS-5,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD23 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921023010 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230101,,CD23 ,12352203,,,,,,9210230101,,,,CD23 Human mFluor Violet 500 Antibody,,,,9210230101,,,LN9207048
,Y,,,,FC,,,,,,EBVCS-5,,mFluor Violet 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD23 Human mFluor Violet 510 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921023011 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230110,,CD23 ,12352203,,,,,,9210230110,,,,CD23 Human mFluor Violet 510 Antibody,,,,9210230110,,,LN9207049
,Y,,,,FC,,,,,,EBVCS-5,,mFluor Violet 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD23 Human mFluor Violet 510 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921023011 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230111,,CD23 ,12352203,,,,,,9210230111,,,,CD23 Human mFluor Violet 510 Antibody,,,,9210230111,,,LN9207050
,Y,,,,FC,,,,,,EBVCS-5,,mFluor Violet 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,745,CD23 Human mFluor Violet 540 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921023012 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230120,,CD23 ,12352203,,,,,,9210230120,,,,CD23 Human mFluor Violet 540 Antibody,,,,9210230120,,,LN9207051
,Y,,,,FC,,,,,,EBVCS-5,,mFluor Violet 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,2659,CD23 Human mFluor Violet 540 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921023012 ,2-8°C with minimized light exposure.,,AAT Bioquest,10230121,,CD23 ,12352203,,,,,,9210230121,,,,CD23 Human mFluor Violet 540 Antibody,,,,9210230121,,,LN9207052
,Y,,,,FC,,,,,,HI264,,AF350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human AF350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235014 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350140,,CD235 ,12352203,,,,,,9212350140,,,,CD235 Human AF350 Antibody,,,,9212350140,,,LN9211205
,Y,,,,FC,,,,,,HI264,,AF350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human AF350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235014 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350141,,CD235 ,12352203,,,,,,9212350141,,,,CD235 Human AF350 Antibody,,,,9212350141,,,LN9211206
,Y,,,,FC,,,,,,HI264,,AF488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human AF488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235015 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350150,,CD235 ,12352203,,,,,,9212350150,,,,CD235 Human AF488 Antibody,,,,9212350150,,,LN9211207
